SMILES,UV_RT-s,Method
O=C1C2=C(OCC3=C1C=CC=C3)C=CC(CC(NS(C(C=C4)=CC=C4C)(=O)=O)=O)=C2,90.0,AM-IV
O=C(NC(C=C1)=CN=C1F)COC2=CC=CC=C2,78.0,AM-IV
O=C(NC(C=C1)=CN=C1F)C(C2=CC=CC=C2)C3=CC=CC=C3,91.8,AM-IV
O=C(NC(C=C1)=CN=C1F)CC2=CC(F)=CC(F)=C2,79.8,AM-IV
O=C(NC(C=C1)=CN=C1F)CC2=CC=C3C(OCO3)=C2,81.0,AM-IV
O=C(NC(C=C1)=CN=C1F)C2C3=C(C=CC=C3)OC4=C2C=CC=C4,90.6,AM-IV
O=C1C2=C(OCC3=C1C=CC=C3)C=CC(CC(NC(C=C4)=CN=C4F)=O)=C2,87.0,AM-IV
O=C(NC(C=C1)=CN=C1F)C2=CC=C3N=C(C=CC3=C2)C,55.8,AM-IV
O=C1C2=C(OCC3=C1C=CC=C3)C=CC(CC(NC4=NC=CC(Cl)=N4)=O)=C2,45.6,AM-IV
O=C(NC(C=CN=C1)=C1[N+]([O-])=O)C(C2=CC=CC=C2)C3=CC=CC=C3,93.6,AM-IV
O=C(NC1=CC(OCC)=NC=C1)COC2=CC=CC=C2,80.4,AM-IV
O=C(NC1=CC(OCC)=NC=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,91.2,AM-IV
O=C(NC1=CC=CC(CC)=C1)COC2=CC=CC=C2,94.8,AM-IV
O=C(NC1=CC=CC(CC)=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,103.8,AM-IV
O=C(NC1=CC=CC(CC)=C1)CC2=CC(F)=CC(F)=C2,95.4,AM-IV
O=C(NC1=CC=CC(CC)=C1)CC2=CC=C3C(OCO3)=C2,89.4,AM-IV
O=C(NC1=CC=CC(CC)=C1)C2C3=C(OC4=C2C=CC=C4)C=CC=C3,101.4,AM-IV
O=C1C2=C(C=CC(CC(NC3=CC=CC(CC)=C3)=O)=C2)OCC4=C1C=CC=C4,98.4,AM-IV
O=C(NC1=CC=CC(CC)=C1)C2=CC=C3N=C(C)C=CC3=C2,75.0,AM-IV
O=C(NC1=CC=C(OCCO2)C2=C1)CC3=CC=C(C)C=C3,84.6,AM-IV
O=C(NC1=CC=C(OCCO2)C2=C1)COC3=CC=CC=C3,83.4,AM-IV
O=C(NC1=CC=C(OCCO2)C2=C1)C(C3=CC=CC=C3)C4=CC=CC=C4,94.2,AM-IV
O=C(NC1=CC=C(OCCO2)C2=C1)CC3=CC(F)=CC(F)=C3,84.0,AM-IV
O=C(NC1=CC=C(OCCO2)C2=C1)CC3=CC=C4C(OCO4)=C3,78.0,AM-IV
O=C(NC1=CC=C(OCCO2)C2=C1)C3C4=C(OC5=C3C=CC=C5)C=CC=C4,92.4,AM-IV
O=C1C2=C(C=CC(CC(NC3=CC=C(OCCO4)C4=C3)=O)=C2)OCC5=C1C=CC=C5,88.8,AM-IV
O=C(NC1=CC=C(OCCO2)C2=C1)C3=CC=C4N=C(C)C=CC4=C3,61.8,AM-IV
O=C(NCC1=CC=C(Br)C=C1)COC2=CC=CC=C2,90.6,AM-IV
O=C(NCC1=CC=C(Br)C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,99.6,AM-IV
O=C(NCC1=CC=C(Br)C=C1)CC2=CC(F)=CC(F)=C2,91.2,AM-IV
O=C(NCC1=CC=C(Br)C=C1)CC2=CC=C3C(OCO3)=C2,85.8,AM-IV
O=C(NCC1=CC=C(Br)C=C1)C2C3=C(OC4=C2C=CC=C4)C=CC=C3,99.0,AM-IV
O=C(NCC1=CC=C(Br)C=C1)C2=CC=C3N=C(C)C=CC3=C2,71.4,AM-IV
O=C(NC(C1=C2C=CC=CC2=CC=C1)C)CC3=CC=C([N+]([O-])=O)C=C3,92.4,AM-IV
O=C(NC(C1=C2C=CC=CC2=CC=C1)C)C3=C(OC)N=CC(Br)=C3,106.2,AM-IV
