SMILES,UV_RT-s,Method
C1(/C=C/C2=CC=C(C3=CC=CC=C3)C=C2)=CC=C4N=CC=CC4=C1,84.0,AM-I
CC1=CC(C#CC2=CC=CN=C2)=NC=C1,54.0,AM-I
CC1=CC(F)=CC=C1C2=CC=C3C(NN=C3)=C2,78.6,AM-I
CC1=CC(C2=CC=CN=C2)=CC=C1F,63.0,AM-I
COC1=CC=C(C(C=CC2=C3)=CC2=NN3C)C=C1,75.201018,AM-I
CSC1=NC(C2=CC=CC=C2)=NC=C1,83.551602,AM-I
ClC1=C2C=CNC2=NC=N1,51.0,AM-I
COC1=CC=CC(C2=NC=CC=C2OC)=C1,55.8,AM-I
O=C(C1=CC=CC=C1)C(C2=NC=CC=C2OC)CC,72.0,AM-I
COC1=C(C2=CN=C(OC)N=C2OC)C=CC=C1,72.6,AM-I
C12=NC=C(C3=CC=CO3)C=C1C=CN2,68.4,AM-I
O=CC1=CC=CC(C#CC2=NC=CC=C2)=C1,67.2,AM-I
N#CC1=NC=C(C2=CC(F)=CN=C2)C=N1,58.8,AM-I
COC1=C(C#CC2=NC=CC=C2)C=CC=C1,67.2,AM-I
CC1=CC(C2=NC=CC(C#N)=C2)=CC(C)=C1,86.4,AM-I
COC1=CN=CC(C2=CC(F)=NC=C2)=C1,55.2,AM-I
O=C(C1=CC=CC(C#CC2=CN=CC(C(C)=O)=C2)=C1)O,65.4,AM-I
CC1=CC(C2=CC=CC=C2CC)=NC=C1,55.2,AM-I
CN1N=CC(C(C=C2)=CC=C2C(C)=O)=C1,57.6,AM-I
N#CC1=CC=C(C2=CC=CC=C2OC)N=C1,72.0,AM-I
CC1=CC(C2=CC=C3C=CC=NC3=C2)=CC(C)=C1,78.301236,AM-I
CC1=CC=C(C2=NC=CC(OC)=C2)C=C1,48.6,AM-I
CC1=CN=C(C2=C(ON=C2C)C)C=C1,54.6,AM-I
NC1=CC=C(C=C1)C#CC2=C3C(C4=CC=CC=C4S3)=CC=C2,94.8,AM-I
O=CC1=CC=C(C2=CC=NN2C)C(OC)=C1,61.2,AM-I
C[Si](C)(C)C1=CC=CC=C1C2=CN(N=C2)C,81.6,AM-I
FC1=CC=C(C2=NC=CC(C)=N2)C=C1,78.6,AM-I
COC1=CN=CC(C2=CC=CC=C2CC)=C1,66.6,AM-I
COC1=NC=C(N(C=N2)C3=C2C=CC=C3)C=N1,50.4,AM-I
CS(C1=CC(C(S2)=CC=C2S(=O)(N)=O)=CC=C1)(=O)=O,59.299947,AM-I
C1(C2=CC3=C(C=C2)SC=N3)=C4C=CC=CC4=CC=C1,90.0,AM-I
CC1=NN=C(CC2=CC=CC=C2)C=C1,52.8,AM-I
CN(C)C1=CC=CC(C2=CN=C(N=C2)OC)=C1,63.6,AM-I
CC(C)(C)C1=CC=C(C2=C(ON=C2C)C)C=C1,88.8,AM-I
COC1=NC=CC(C2=CC=NC3=CC=CC=C23)=C1,73.2,AM-I
CN1N=C(C(Cl)=C1)C2=CSC(C3=NC=CC=C3)=N2,72.0,AM-I
NC1=NC(C2=CC=C(C)C([N+]([O-])=O)=C2)=NC=C1,57.0,AM-I
C=CCN(CC1=CN=C(C2=CC=CC=C2)S1)C3=CC=CC=C3,94.652388,AM-I
O=C(CN(C1=C2C(C=CS2)=NC=N1)CC3=CC=CC=C3)OCC,70.2,AM-I
CC1=C(C2=CC=C(C=C2)OCC3=CC=CC=C3)C=NC=C1,66.0,AM-I
O=C(C1=CC=CS1)C(C2=C3C=CN=CC3=CC=C2)C,56.4,AM-I
CC1=CC(C2=NN=C(C=C2)Cl)=CC(C)=C1,80.701404,AM-I
FC1=CC=C(C2=NC(C)=CC(C)=N2)C=C1,82.801554,AM-I
FC1=NC=C(C2=CC=CC=C2OC)C=N1,72.6,AM-I
CC1=CC=C(C2=CC=C(F)C(C)=C2)C(C)=N1,53.4,AM-I
CC1=C(C2=CC=CC(C3=CC=CC=C3)=C2)C=NC=C1,68.4,AM-I
COC1=NC=C(C(CC)C(C2=CC=CC=C2)=O)C=N1,75.6,AM-I
COC1=NC=C(C#CCCOC2CCCCO2)C=N1,70.2,AM-I
C1(CCCCO1)OCC#CC2=CN=C3NC=CC3=C2,69.6,AM-I
O=C(C1=CC=C(C=C1)C#CC(C=N2)=CN=C2OC)OC,76.2,AM-I
CC1=CC=C(C2=CC=NN2C)C=C1OC,75.0,AM-I
