SMILES,UV_RT-s,Method
COC(C(C)=C1)=CC=C1NC2=C3C(C=CS3)=NC=N2,56.4,AM-II
O=C(NC1=CC=CC(OC2=NC=CC(C(OC)=O)=C2)=C1)OC(C)(C)C,64.2,AM-II
CN1C(C2=CC=CC(C)=C2C)=CN=C1,40.8,AM-II
O=[N+]([O-])C1=CC=C(NC2=CC=C(C=C2)N3C=CN=C3C)N=C1C,52.8,AM-II
CC1=CC(C=O)=CC(C)=C1OC2=CN=CN2C,37.2,AM-II
C1(NC2=NC=CC=C2)=CC=C3OCCOC3=C1,35.4,AM-II
O=C(OCC)C1=CC(C)=CC=C1OC2=CC(C)=NC=C2,43.8,AM-II
COC(C)c1ccc(Oc2cccc(C)n2)cc1,69.6,AM-II
CC(C=C1)=CN=C1NC2=NC=C3C(NC=C3)=N2,44.4,AM-II
CC(C1=CC=C(C=C1OC(C=NC=C2)=C2C)F)=O,39.6,AM-II
FC1=CC=C(C=C1F)OC2=CC(C)=NC=C2,40.2,AM-II
