SMILES,UV_RT-s,Method
O=C(OC)C1=CC=C(NC2=CC=C(C=C2)SC)C=C1OC,67.8,AM-V
CC(C)(C)OC(N1C=CC=C1N(C2=CC=CC=C2)C3=CC=CC=C3)=O,67.2,AM-V
CSC(C=C1)=CC=C1NC2=CC=C(C=C2)N3C4=C(C=CC=C4)C5=C3C=CC=C5,60.0,AM-V
CC1=CC(NC2=CC=CC(SC)=C2)=CC=C1F,71.4,AM-V
CCOC1=CC=C(NC2=CC=CC(SC)=C2)C=N1,69.0,AM-V
CC(NC1=CC(NC2=CC=CC(SC)=C2)=CC=C1)=O,63.6,AM-V
O=[N+](C1=CC(NC2=CC=CC(SC)=C2)=CC=C1C)[O-],71.4,AM-V
COC1=NC=CC=C1NC2=CC=C(C=C2)CO,58.8,AM-V
O=[N+](C1=CC(N(C2=CC=CC=C2)CCO)=CC=C1C)[O-],68.4,AM-V
CC(C)OC1=CC(N2CCC(N3CCCCC3)CC2)=CC=C1,53.4,AM-V
CC(C1=CC=C(N2CCC(N3CCCCC3)CC2)S1)=O,43.8,AM-V
FC1=NC=C(N2CCC(N3CCCCC3)CC2)C=C1,40.8,AM-V
C1(N2CCC(N3CCCCC3)CC2)=CC=C(C=C1)N4C5=C(C=CC=C5)C6=C4C=CC=C6,63.0,AM-V
CC(C1=CC(N2CCC(N3CCCCC3)CC2)=CC=C1)=O,46.8,AM-V
CSC1=CC=C(N2CCC(N3CCCCC3)CC2)C=C1,51.6,AM-V
COC1=NC=CC=C1NC2=CC=C(C=C2)C,69.0,AM-V
CC1=CC(NC2=CC=C(C=C2)C)=CC=C1F,72.0,AM-V
CC(C=C1)=CC=C1NC2=CC=CC(OCC3=CC=CC=C3)=C2,73.8,AM-V
CCC(C=C1)=CC=C1NC2=CC=CC(OCC3=CC=CC=C3)=C2,75.6,AM-V
CSC1=CC=C(C=C1)NC2=CC(C#C)=CC=C2,67.8,AM-V
C#CC1=CC=CC(NC(C(F)=N2)=CC=C2F)=C1,63.0,AM-V
CC1=C(C)C(NC2=CC=CC(OCC3=CC=CC=C3)=C2)=CC=C1,75.0,AM-V
CCOC1=CC=C(C=N1)NC2=CC=C(OC)C(OC)=C2,62.4,AM-V
